datetime_beginning_utc,datetime_beginning_ept,area,wind_generation_mw
1/1/2014 4:00:00 AM,12/31/2013 11:00:00 PM,RFC,1786.000
1/1/2014 3:00:00 AM,12/31/2013 10:00:00 PM,RFC,1785.000
1/1/2014 2:00:00 AM,12/31/2013 9:00:00 PM,RFC,1559.000
1/1/2014 1:00:00 AM,12/31/2013 8:00:00 PM,RFC,1495.000
1/1/2014 12:00:00 AM,12/31/2013 7:00:00 PM,RFC,1410.000
12/31/2013 11:00:00 PM,12/31/2013 6:00:00 PM,RFC,1379.000
12/31/2013 10:00:00 PM,12/31/2013 5:00:00 PM,RFC,1427.000
12/31/2013 9:00:00 PM,12/31/2013 4:00:00 PM,RFC,1496.000
12/31/2013 8:00:00 PM,12/31/2013 3:00:00 PM,RFC,1542.000
12/31/2013 7:00:00 PM,12/31/2013 2:00:00 PM,RFC,1558.000
12/31/2013 6:00:00 PM,12/31/2013 1:00:00 PM,RFC,1655.000
12/31/2013 5:00:00 PM,12/31/2013 12:00:00 PM,RFC,1798.000
12/31/2013 4:00:00 PM,12/31/2013 11:00:00 AM,RFC,1668.000
12/31/2013 3:00:00 PM,12/31/2013 10:00:00 AM,RFC,1577.000
12/31/2013 2:00:00 PM,12/31/2013 9:00:00 AM,RFC,1417.000
12/31/2013 1:00:00 PM,12/31/2013 8:00:00 AM,RFC,1324.000
12/31/2013 12:00:00 PM,12/31/2013 7:00:00 AM,RFC,1292.000
12/31/2013 11:00:00 AM,12/31/2013 6:00:00 AM,RFC,1247.000
12/31/2013 10:00:00 AM,12/31/2013 5:00:00 AM,RFC,1289.000
12/31/2013 9:00:00 AM,12/31/2013 4:00:00 AM,RFC,1185.000
12/31/2013 8:00:00 AM,12/31/2013 3:00:00 AM,RFC,775.000
12/31/2013 7:00:00 AM,12/31/2013 2:00:00 AM,RFC,576.000
12/31/2013 6:00:00 AM,12/31/2013 1:00:00 AM,RFC,361.000
12/31/2013 5:00:00 AM,12/31/2013 12:00:00 AM,RFC,274.000
12/31/2013 4:00:00 AM,12/30/2013 11:00:00 PM,RFC,312.000
12/31/2013 3:00:00 AM,12/30/2013 10:00:00 PM,RFC,199.000
12/31/2013 2:00:00 AM,12/30/2013 9:00:00 PM,RFC,176.000
12/31/2013 1:00:00 AM,12/30/2013 8:00:00 PM,RFC,212.000
12/31/2013 12:00:00 AM,12/30/2013 7:00:00 PM,RFC,212.000
12/30/2013 11:00:00 PM,12/30/2013 6:00:00 PM,RFC,192.000
12/30/2013 10:00:00 PM,12/30/2013 5:00:00 PM,RFC,212.000
12/30/2013 9:00:00 PM,12/30/2013 4:00:00 PM,RFC,229.000
12/30/2013 8:00:00 PM,12/30/2013 3:00:00 PM,RFC,264.000
12/30/2013 7:00:00 PM,12/30/2013 2:00:00 PM,RFC,378.000
12/30/2013 6:00:00 PM,12/30/2013 1:00:00 PM,RFC,489.000
12/30/2013 5:00:00 PM,12/30/2013 12:00:00 PM,RFC,502.000
12/30/2013 4:00:00 PM,12/30/2013 11:00:00 AM,RFC,495.000
12/30/2013 3:00:00 PM,12/30/2013 10:00:00 AM,RFC,538.000
12/30/2013 2:00:00 PM,12/30/2013 9:00:00 AM,RFC,702.000
12/30/2013 1:00:00 PM,12/30/2013 8:00:00 AM,RFC,913.000
12/30/2013 12:00:00 PM,12/30/2013 7:00:00 AM,RFC,960.000
12/30/2013 11:00:00 AM,12/30/2013 6:00:00 AM,RFC,1042.000
12/30/2013 10:00:00 AM,12/30/2013 5:00:00 AM,RFC,1269.000
12/30/2013 9:00:00 AM,12/30/2013 4:00:00 AM,RFC,1535.000
12/30/2013 8:00:00 AM,12/30/2013 3:00:00 AM,RFC,1848.000
12/30/2013 7:00:00 AM,12/30/2013 2:00:00 AM,RFC,2255.000
12/30/2013 6:00:00 AM,12/30/2013 1:00:00 AM,RFC,2455.000
12/30/2013 5:00:00 AM,12/30/2013 12:00:00 AM,RFC,2596.000
12/30/2013 4:00:00 AM,12/29/2013 11:00:00 PM,RFC,2707.000
12/30/2013 3:00:00 AM,12/29/2013 10:00:00 PM,RFC,2985.000
12/30/2013 2:00:00 AM,12/29/2013 9:00:00 PM,RFC,3209.000
12/30/2013 1:00:00 AM,12/29/2013 8:00:00 PM,RFC,3269.000
12/30/2013 12:00:00 AM,12/29/2013 7:00:00 PM,RFC,3067.000
12/29/2013 11:00:00 PM,12/29/2013 6:00:00 PM,RFC,2888.000
12/29/2013 10:00:00 PM,12/29/2013 5:00:00 PM,RFC,2783.000
12/29/2013 9:00:00 PM,12/29/2013 4:00:00 PM,RFC,2954.000
12/29/2013 8:00:00 PM,12/29/2013 3:00:00 PM,RFC,2873.000
12/29/2013 7:00:00 PM,12/29/2013 2:00:00 PM,RFC,2588.000
12/29/2013 6:00:00 PM,12/29/2013 1:00:00 PM,RFC,2589.000
12/29/2013 5:00:00 PM,12/29/2013 12:00:00 PM,RFC,2695.000
12/29/2013 4:00:00 PM,12/29/2013 11:00:00 AM,RFC,2697.000
12/29/2013 3:00:00 PM,12/29/2013 10:00:00 AM,RFC,2902.000
12/29/2013 2:00:00 PM,12/29/2013 9:00:00 AM,RFC,3027.000
12/29/2013 1:00:00 PM,12/29/2013 8:00:00 AM,RFC,2812.000
12/29/2013 12:00:00 PM,12/29/2013 7:00:00 AM,RFC,2887.000
12/29/2013 11:00:00 AM,12/29/2013 6:00:00 AM,RFC,2876.000
12/29/2013 10:00:00 AM,12/29/2013 5:00:00 AM,RFC,3114.000
12/29/2013 9:00:00 AM,12/29/2013 4:00:00 AM,RFC,2961.000
12/29/2013 8:00:00 AM,12/29/2013 3:00:00 AM,RFC,3029.000
12/29/2013 7:00:00 AM,12/29/2013 2:00:00 AM,RFC,3248.000
12/29/2013 6:00:00 AM,12/29/2013 1:00:00 AM,RFC,3524.000
12/29/2013 5:00:00 AM,12/29/2013 12:00:00 AM,RFC,3671.000
12/29/2013 4:00:00 AM,12/28/2013 11:00:00 PM,RFC,3632.000
12/29/2013 3:00:00 AM,12/28/2013 10:00:00 PM,RFC,3980.000
12/29/2013 2:00:00 AM,12/28/2013 9:00:00 PM,RFC,4249.000
12/29/2013 1:00:00 AM,12/28/2013 8:00:00 PM,RFC,4324.000
12/29/2013 12:00:00 AM,12/28/2013 7:00:00 PM,RFC,4401.000
12/28/2013 11:00:00 PM,12/28/2013 6:00:00 PM,RFC,4052.000
12/28/2013 10:00:00 PM,12/28/2013 5:00:00 PM,RFC,3797.000
12/28/2013 9:00:00 PM,12/28/2013 4:00:00 PM,RFC,3063.000
12/28/2013 8:00:00 PM,12/28/2013 3:00:00 PM,RFC,2931.000
12/28/2013 7:00:00 PM,12/28/2013 2:00:00 PM,RFC,2935.000
12/28/2013 6:00:00 PM,12/28/2013 1:00:00 PM,RFC,2683.000
12/28/2013 5:00:00 PM,12/28/2013 12:00:00 PM,RFC,2598.000
12/28/2013 4:00:00 PM,12/28/2013 11:00:00 AM,RFC,2836.000
12/28/2013 3:00:00 PM,12/28/2013 10:00:00 AM,RFC,3201.000
12/28/2013 2:00:00 PM,12/28/2013 9:00:00 AM,RFC,3674.000
12/28/2013 1:00:00 PM,12/28/2013 8:00:00 AM,RFC,4044.000
12/28/2013 12:00:00 PM,12/28/2013 7:00:00 AM,RFC,4045.000
12/28/2013 11:00:00 AM,12/28/2013 6:00:00 AM,RFC,4189.000
12/28/2013 10:00:00 AM,12/28/2013 5:00:00 AM,RFC,4228.000
12/28/2013 9:00:00 AM,12/28/2013 4:00:00 AM,RFC,4151.000
12/28/2013 8:00:00 AM,12/28/2013 3:00:00 AM,RFC,4214.000
12/28/2013 7:00:00 AM,12/28/2013 2:00:00 AM,RFC,4343.000
12/28/2013 6:00:00 AM,12/28/2013 1:00:00 AM,RFC,4438.000
12/28/2013 5:00:00 AM,12/28/2013 12:00:00 AM,RFC,4535.000
12/28/2013 4:00:00 AM,12/27/2013 11:00:00 PM,RFC,4318.000
12/28/2013 3:00:00 AM,12/27/2013 10:00:00 PM,RFC,4127.000
12/28/2013 2:00:00 AM,12/27/2013 9:00:00 PM,RFC,4137.000
12/28/2013 1:00:00 AM,12/27/2013 8:00:00 PM,RFC,3982.000
12/28/2013 12:00:00 AM,12/27/2013 7:00:00 PM,RFC,3902.000
12/27/2013 11:00:00 PM,12/27/2013 6:00:00 PM,RFC,3636.000
12/27/2013 10:00:00 PM,12/27/2013 5:00:00 PM,RFC,3141.000
12/27/2013 9:00:00 PM,12/27/2013 4:00:00 PM,RFC,2392.000
12/27/2013 8:00:00 PM,12/27/2013 3:00:00 PM,RFC,2239.000
12/27/2013 7:00:00 PM,12/27/2013 2:00:00 PM,RFC,2077.000
12/27/2013 6:00:00 PM,12/27/2013 1:00:00 PM,RFC,1836.000
12/27/2013 5:00:00 PM,12/27/2013 12:00:00 PM,RFC,1704.000
12/27/2013 4:00:00 PM,12/27/2013 11:00:00 AM,RFC,1550.000
12/27/2013 3:00:00 PM,12/27/2013 10:00:00 AM,RFC,1440.000
12/27/2013 2:00:00 PM,12/27/2013 9:00:00 AM,RFC,1457.000
12/27/2013 1:00:00 PM,12/27/2013 8:00:00 AM,RFC,1645.000
12/27/2013 12:00:00 PM,12/27/2013 7:00:00 AM,RFC,1880.000
12/27/2013 11:00:00 AM,12/27/2013 6:00:00 AM,RFC,2152.000
12/27/2013 10:00:00 AM,12/27/2013 5:00:00 AM,RFC,2274.000
12/27/2013 9:00:00 AM,12/27/2013 4:00:00 AM,RFC,2253.000
12/27/2013 8:00:00 AM,12/27/2013 3:00:00 AM,RFC,2206.000
12/27/2013 7:00:00 AM,12/27/2013 2:00:00 AM,RFC,2305.000
