datetime_date,datetime_time,mw
2020-10-08,14:00:00,1361.942
2020-10-08,15:00:00,1379.574
2020-10-08,16:00:00,1386.034
2020-10-08,17:00:00,1386.845
2020-10-08,18:00:00,1371.979
2020-10-08,19:00:00,1351.355
2020-10-08,20:00:00,1358.175
2020-10-08,21:00:00,1340.873
2020-10-08,22:00:00,1338.198
2020-10-08,23:00:00,1371.308
2020-10-09,00:00:00,1334.306
2020-10-09,01:00:00,1283.123
2020-10-09,02:00:00,1210.45
2020-10-09,03:00:00,1144.034
2020-10-09,04:00:00,1088.513
2020-10-09,05:00:00,1065.454
2020-10-09,06:00:00,1043.986
2020-10-09,07:00:00,1052.855
2020-10-09,08:00:00,1076.113
2020-10-09,09:00:00,1128.573
2020-10-09,10:00:00,1212.627
2020-10-09,11:00:00,1282.005
2020-10-09,12:00:00,1322.035
2020-10-09,13:00:00,1343.103
2020-10-09,14:00:00,1370.341
2020-10-09,15:00:00,1394.262
2020-10-09,16:00:00,1414.883
2020-10-09,17:00:00,1414.707
2020-10-09,18:00:00,1407.115
2020-10-09,19:00:00,1396.115
2020-10-09,20:00:00,1394.439
2020-10-09,21:00:00,1371.659
2020-10-09,22:00:00,1351.657
2020-10-09,23:00:00,1374.907
2020-10-10,00:00:00,1337.706
2020-10-10,01:00:00,1286.517
2020-10-10,02:00:00,1222.533
2020-10-10,03:00:00,1145.488
2020-10-10,04:00:00,1110.258
2020-10-10,05:00:00,1058.117
2020-10-10,06:00:00,1058.025
2020-10-10,07:00:00,1046.717
2020-10-10,08:00:00,1046.38
2020-10-10,09:00:00,1062.785
2020-10-10,10:00:00,1096.335
2020-10-10,11:00:00,1138.476
2020-10-10,12:00:00,1174.495
2020-10-10,13:00:00,1220.445
2020-10-10,14:00:00,1261.22
2020-10-10,15:00:00,1286.505
2020-10-10,16:00:00,1304.355
2020-10-10,17:00:00,1318.867
2020-10-10,18:00:00,1329.985
2020-10-10,19:00:00,1333.918
2020-10-10,20:00:00,1336.331
2020-10-10,21:00:00,1344.153
2020-10-10,22:00:00,1357.681
2020-10-10,23:00:00,1371.334
2020-10-11,00:00:00,1352.96
2020-10-11,01:00:00,1305.465
2020-10-11,02:00:00,1255.732
2020-10-11,03:00:00,1204.357
2020-10-11,04:00:00,1147.899
2020-10-11,05:00:00,1109.935
2020-10-11,06:00:00,1096.421
2020-10-11,07:00:00,1074.87
2020-10-11,08:00:00,1072.178
2020-10-11,09:00:00,1087.58
2020-10-11,10:00:00,1108.673
2020-10-11,11:00:00,1134.728
2020-10-11,12:00:00,1176.394
2020-10-11,13:00:00,1222.614
2020-10-11,14:00:00,1260.556
2020-10-11,15:00:00,1301.068
2020-10-11,16:00:00,1326.725
2020-10-11,17:00:00,1336.068
2020-10-11,18:00:00,1343.059
2020-10-11,19:00:00,1334.45
2020-10-11,20:00:00,1341.671
2020-10-11,21:00:00,1369.719
2020-10-11,22:00:00,1382.05
2020-10-11,23:00:00,1400.295
2020-10-12,00:00:00,1374.896
2020-10-12,01:00:00,1330.221
2020-10-12,02:00:00,1251.565
2020-10-12,03:00:00,1176.254
2020-10-12,04:00:00,1114.773
2020-10-12,05:00:00,1078.831
2020-10-12,06:00:00,1058.02
2020-10-12,07:00:00,1055.542
2020-10-12,08:00:00,1068.478
2020-10-12,09:00:00,1120.93
2020-10-12,10:00:00,1203.28
2020-10-12,11:00:00,1278.782
2020-10-12,12:00:00,1321.224
2020-10-12,13:00:00,1354.327
2020-10-12,14:00:00,1399.927
2020-10-12,15:00:00,1412.763
2020-10-12,16:00:00,1423.019
2020-10-12,17:00:00,1435.086
2020-10-12,18:00:00,1437.989
2020-10-12,19:00:00,1443.445
2020-10-12,20:00:00,1434.413
2020-10-12,21:00:00,1427.546
2020-10-12,22:00:00,1415.749
2020-10-12,23:00:00,1430.312
2020-10-13,00:00:00,1386.4
2020-10-13,01:00:00,1317.615
2020-10-13,02:00:00,1265.822
2020-10-13,03:00:00,1188.716
2020-10-13,04:00:00,1131.759
2020-10-13,05:00:00,1076.643
2020-10-13,06:00:00,1067.189
2020-10-13,07:00:00,1065.614
2020-10-13,08:00:00,1089.196
2020-10-13,09:00:00,1139.12
2020-10-13,10:00:00,1212.572
2020-10-13,11:00:00,1310.786
2020-10-13,12:00:00,1344.28
2020-10-13,13:00:00,1366.267
2020-10-13,14:00:00,1376.799
2020-10-13,15:00:00,1378.189
2020-10-13,16:00:00,1397.262
2020-10-13,17:00:00,1416.072
2020-10-13,18:00:00,1410.343
2020-10-13,19:00:00,1390.672
2020-10-13,20:00:00,1388.482
2020-10-13,21:00:00,1380.893
2020-10-13,22:00:00,1370.754
2020-10-13,23:00:00,1382.32
2020-10-14,00:00:00,1353.09
2020-10-14,01:00:00,1299.551
2020-10-14,02:00:00,1233.709
2020-10-14,03:00:00,1158.474
2020-10-14,04:00:00,1092.454
2020-10-14,05:00:00,1072.797
2020-10-14,06:00:00,1064.903
2020-10-14,07:00:00,1044.655
2020-10-14,08:00:00,1076.948
2020-10-14,09:00:00,1123.983
2020-10-14,10:00:00,1209.551
2020-10-14,11:00:00,1295.865
2020-10-14,12:00:00,1329.901
2020-10-14,13:00:00,1348.755
2020-10-14,14:00:00,1374.577
2020-10-14,15:00:00,1410.711
2020-10-14,16:00:00,1409.682
2020-10-14,17:00:00,1420.676
2020-10-14,18:00:00,1425.353
2020-10-14,19:00:00,1402.331
2020-10-14,20:00:00,1392.9
2020-10-14,21:00:00,1382.391
2020-10-14,22:00:00,1362.886
2020-10-14,23:00:00,1387.16
2020-10-15,00:00:00,1367.105
2020-10-15,01:00:00,1326.311
2020-10-15,02:00:00,1234.673
2020-10-15,03:00:00,1179.673
2020-10-15,04:00:00,1130.544
2020-10-15,05:00:00,1093.584
2020-10-15,06:00:00,1082.766
2020-10-15,07:00:00,1068.024
2020-10-15,08:00:00,1083.253
2020-10-15,09:00:00,1132.091
2020-10-15,10:00:00,1227.153
2020-10-15,11:00:00,1303.19
2020-10-15,12:00:00,1338.874
2020-10-15,13:00:00,1387.295
2020-10-15,14:00:00,1435.303
2020-10-15,15:00:00,1462.205
2020-10-15,16:00:00,1473.441
2020-10-15,17:00:00,1466.016
2020-10-15,18:00:00,1439.816
2020-10-15,19:00:00,1441.748
2020-10-15,20:00:00,1410.02
2020-10-15,21:00:00,1384.279
2020-10-15,22:00:00,1395.1
2020-10-15,23:00:00,1393.492
2020-10-16,00:00:00,1353.165
2020-10-16,01:00:00,1293.153
2020-10-16,02:00:00,1227.686
2020-10-16,03:00:00,1148.25
2020-10-16,04:00:00,1094.62
2020-10-16,05:00:00,1080.313
2020-10-16,06:00:00,1059.317
2020-10-16,07:00:00,1062.15
2020-10-16,08:00:00,1074.184
2020-10-16,09:00:00,1124.909
2020-10-16,10:00:00,1215.495
2020-10-16,11:00:00,1308.813
2020-10-16,12:00:00,1339.452
2020-10-16,13:00:00,1369.221
2020-10-16,14:00:00,1402.711
2020-10-16,15:00:00,1400.136
2020-10-16,16:00:00,1389.485
2020-10-16,17:00:00,1370.456
2020-10-16,18:00:00,1348.498
2020-10-16,19:00:00,1327.765
2020-10-16,20:00:00,1321.803
2020-10-16,21:00:00,1314.898
2020-10-16,22:00:00,1324.578
2020-10-16,23:00:00,1354.093
2020-10-17,00:00:00,1326.37
2020-10-17,01:00:00,1270.508
2020-10-17,02:00:00,1227.054
2020-10-17,03:00:00,1187.6
