datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2010 5:00:00 AM,1/1/2010 12:00:00 AM,RFC,MIDATL,BC,BC,3843.203,True
1/1/2010 6:00:00 AM,1/1/2010 1:00:00 AM,RFC,MIDATL,BC,BC,3755.755,True
1/1/2010 7:00:00 AM,1/1/2010 2:00:00 AM,RFC,MIDATL,BC,BC,3640.408,True
1/1/2010 8:00:00 AM,1/1/2010 3:00:00 AM,RFC,MIDATL,BC,BC,3588.513,True
1/1/2010 9:00:00 AM,1/1/2010 4:00:00 AM,RFC,MIDATL,BC,BC,3644.426,True
1/1/2010 10:00:00 AM,1/1/2010 5:00:00 AM,RFC,MIDATL,BC,BC,3718.356,True
1/1/2010 11:00:00 AM,1/1/2010 6:00:00 AM,RFC,MIDATL,BC,BC,3838.166,True
1/1/2010 12:00:00 PM,1/1/2010 7:00:00 AM,RFC,MIDATL,BC,BC,3848.927,True
1/1/2010 1:00:00 PM,1/1/2010 8:00:00 AM,RFC,MIDATL,BC,BC,3863.791,True
1/1/2010 2:00:00 PM,1/1/2010 9:00:00 AM,RFC,MIDATL,BC,BC,3939.955,True
1/1/2010 3:00:00 PM,1/1/2010 10:00:00 AM,RFC,MIDATL,BC,BC,4041.107,True
1/1/2010 4:00:00 PM,1/1/2010 11:00:00 AM,RFC,MIDATL,BC,BC,3986.885,True
1/1/2010 5:00:00 PM,1/1/2010 12:00:00 PM,RFC,MIDATL,BC,BC,3954.755,True
1/1/2010 6:00:00 PM,1/1/2010 1:00:00 PM,RFC,MIDATL,BC,BC,3947.799,True
1/1/2010 7:00:00 PM,1/1/2010 2:00:00 PM,RFC,MIDATL,BC,BC,3965.143,True
1/1/2010 8:00:00 PM,1/1/2010 3:00:00 PM,RFC,MIDATL,BC,BC,3965.747,True
1/1/2010 9:00:00 PM,1/1/2010 4:00:00 PM,RFC,MIDATL,BC,BC,4084.216,True
1/1/2010 10:00:00 PM,1/1/2010 5:00:00 PM,RFC,MIDATL,BC,BC,4453.184,True
1/1/2010 11:00:00 PM,1/1/2010 6:00:00 PM,RFC,MIDATL,BC,BC,4439.573,True
1/2/2010 12:00:00 AM,1/1/2010 7:00:00 PM,RFC,MIDATL,BC,BC,4498.893,True
1/2/2010 1:00:00 AM,1/1/2010 8:00:00 PM,RFC,MIDATL,BC,BC,4495.224,True
1/2/2010 2:00:00 AM,1/1/2010 9:00:00 PM,RFC,MIDATL,BC,BC,4438.956,True
1/2/2010 3:00:00 AM,1/1/2010 10:00:00 PM,RFC,MIDATL,BC,BC,4286.532,True
1/2/2010 4:00:00 AM,1/1/2010 11:00:00 PM,RFC,MIDATL,BC,BC,4150.695,True
1/2/2010 5:00:00 AM,1/2/2010 12:00:00 AM,RFC,MIDATL,BC,BC,4001.448,True
1/2/2010 6:00:00 AM,1/2/2010 1:00:00 AM,RFC,MIDATL,BC,BC,3908.080,True
1/2/2010 7:00:00 AM,1/2/2010 2:00:00 AM,RFC,MIDATL,BC,BC,3903.995,True
1/2/2010 8:00:00 AM,1/2/2010 3:00:00 AM,RFC,MIDATL,BC,BC,3918.528,True
1/2/2010 9:00:00 AM,1/2/2010 4:00:00 AM,RFC,MIDATL,BC,BC,3971.734,True
1/2/2010 10:00:00 AM,1/2/2010 5:00:00 AM,RFC,MIDATL,BC,BC,4110.239,True
1/2/2010 11:00:00 AM,1/2/2010 6:00:00 AM,RFC,MIDATL,BC,BC,4293.155,True
1/2/2010 12:00:00 PM,1/2/2010 7:00:00 AM,RFC,MIDATL,BC,BC,4400.194,True
1/2/2010 1:00:00 PM,1/2/2010 8:00:00 AM,RFC,MIDATL,BC,BC,4540.205,True
1/2/2010 2:00:00 PM,1/2/2010 9:00:00 AM,RFC,MIDATL,BC,BC,4745.855,True
1/2/2010 3:00:00 PM,1/2/2010 10:00:00 AM,RFC,MIDATL,BC,BC,4802.148,True
1/2/2010 4:00:00 PM,1/2/2010 11:00:00 AM,RFC,MIDATL,BC,BC,4778.386,True
1/2/2010 5:00:00 PM,1/2/2010 12:00:00 PM,RFC,MIDATL,BC,BC,4715.489,True
1/2/2010 6:00:00 PM,1/2/2010 1:00:00 PM,RFC,MIDATL,BC,BC,4628.908,True
1/2/2010 7:00:00 PM,1/2/2010 2:00:00 PM,RFC,MIDATL,BC,BC,4653.403,True
