datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2020 5:00:00 AM,1/1/2020 12:00:00 AM,RFC,MIDATL,BC,BC,3077.862,True
1/1/2020 6:00:00 AM,1/1/2020 1:00:00 AM,RFC,MIDATL,BC,BC,3018.325,True
1/1/2020 7:00:00 AM,1/1/2020 2:00:00 AM,RFC,MIDATL,BC,BC,2963.397,True
1/1/2020 8:00:00 AM,1/1/2020 3:00:00 AM,RFC,MIDATL,BC,BC,2938.747,True
1/1/2020 9:00:00 AM,1/1/2020 4:00:00 AM,RFC,MIDATL,BC,BC,2976.918,True
1/1/2020 10:00:00 AM,1/1/2020 5:00:00 AM,RFC,MIDATL,BC,BC,3075.052,True
1/1/2020 11:00:00 AM,1/1/2020 6:00:00 AM,RFC,MIDATL,BC,BC,3161.445,True
1/1/2020 12:00:00 PM,1/1/2020 7:00:00 AM,RFC,MIDATL,BC,BC,3204.442,True
1/1/2020 1:00:00 PM,1/1/2020 8:00:00 AM,RFC,MIDATL,BC,BC,3234.791,True
1/1/2020 2:00:00 PM,1/1/2020 9:00:00 AM,RFC,MIDATL,BC,BC,3245.676,True
1/1/2020 3:00:00 PM,1/1/2020 10:00:00 AM,RFC,MIDATL,BC,BC,3217.162,True
1/1/2020 4:00:00 PM,1/1/2020 11:00:00 AM,RFC,MIDATL,BC,BC,3178.996,True
1/1/2020 5:00:00 PM,1/1/2020 12:00:00 PM,RFC,MIDATL,BC,BC,3133.413,True
1/1/2020 6:00:00 PM,1/1/2020 1:00:00 PM,RFC,MIDATL,BC,BC,3123.383,True
1/1/2020 7:00:00 PM,1/1/2020 2:00:00 PM,RFC,MIDATL,BC,BC,3120.318,True
1/1/2020 8:00:00 PM,1/1/2020 3:00:00 PM,RFC,MIDATL,BC,BC,3199.652,True
1/1/2020 9:00:00 PM,1/1/2020 4:00:00 PM,RFC,MIDATL,BC,BC,3410.683,True
1/1/2020 10:00:00 PM,1/1/2020 5:00:00 PM,RFC,MIDATL,BC,BC,3791.289,True
1/1/2020 11:00:00 PM,1/1/2020 6:00:00 PM,RFC,MIDATL,BC,BC,3884.289,True
1/2/2020 12:00:00 AM,1/1/2020 7:00:00 PM,RFC,MIDATL,BC,BC,3892.303,True
1/2/2020 1:00:00 AM,1/1/2020 8:00:00 PM,RFC,MIDATL,BC,BC,3895.263,True
1/2/2020 2:00:00 AM,1/1/2020 9:00:00 PM,RFC,MIDATL,BC,BC,3786.147,True
1/2/2020 3:00:00 AM,1/1/2020 10:00:00 PM,RFC,MIDATL,BC,BC,3604.040,True
1/2/2020 4:00:00 AM,1/1/2020 11:00:00 PM,RFC,MIDATL,BC,BC,3438.124,True
1/2/2020 5:00:00 AM,1/2/2020 12:00:00 AM,RFC,MIDATL,BC,BC,3339.091,True
1/2/2020 6:00:00 AM,1/2/2020 1:00:00 AM,RFC,MIDATL,BC,BC,3310.292,True
1/2/2020 7:00:00 AM,1/2/2020 2:00:00 AM,RFC,MIDATL,BC,BC,3332.484,True
1/2/2020 8:00:00 AM,1/2/2020 3:00:00 AM,RFC,MIDATL,BC,BC,3390.443,True
1/2/2020 9:00:00 AM,1/2/2020 4:00:00 AM,RFC,MIDATL,BC,BC,3556.686,True
1/2/2020 10:00:00 AM,1/2/2020 5:00:00 AM,RFC,MIDATL,BC,BC,3883.246,True
1/2/2020 11:00:00 AM,1/2/2020 6:00:00 AM,RFC,MIDATL,BC,BC,4303.366,True
1/2/2020 12:00:00 PM,1/2/2020 7:00:00 AM,RFC,MIDATL,BC,BC,4476.965,True
1/2/2020 1:00:00 PM,1/2/2020 8:00:00 AM,RFC,MIDATL,BC,BC,4384.820,True
1/2/2020 2:00:00 PM,1/2/2020 9:00:00 AM,RFC,MIDATL,BC,BC,4164.865,True
1/2/2020 3:00:00 PM,1/2/2020 10:00:00 AM,RFC,MIDATL,BC,BC,3944.076,True
1/2/2020 4:00:00 PM,1/2/2020 11:00:00 AM,RFC,MIDATL,BC,BC,3805.436,True
1/2/2020 5:00:00 PM,1/2/2020 12:00:00 PM,RFC,MIDATL,BC,BC,3547.553,True
1/2/2020 6:00:00 PM,1/2/2020 1:00:00 PM,RFC,MIDATL,BC,BC,3408.693,True
1/2/2020 7:00:00 PM,1/2/2020 2:00:00 PM,RFC,MIDATL,BC,BC,3416.944,True
1/2/2020 8:00:00 PM,1/2/2020 3:00:00 PM,RFC,MIDATL,BC,BC,3444.980,True
1/2/2020 9:00:00 PM,1/2/2020 4:00:00 PM,RFC,MIDATL,BC,BC,3671.194,True
1/2/2020 10:00:00 PM,1/2/2020 5:00:00 PM,RFC,MIDATL,BC,BC,3979.914,True
1/2/2020 11:00:00 PM,1/2/2020 6:00:00 PM,RFC,MIDATL,BC,BC,4015.358,True
1/3/2020 12:00:00 AM,1/2/2020 7:00:00 PM,RFC,MIDATL,BC,BC,3952.875,True
1/3/2020 1:00:00 AM,1/2/2020 8:00:00 PM,RFC,MIDATL,BC,BC,3835.171,True
1/3/2020 2:00:00 AM,1/2/2020 9:00:00 PM,RFC,MIDATL,BC,BC,3646.119,True
1/3/2020 3:00:00 AM,1/2/2020 10:00:00 PM,RFC,MIDATL,BC,BC,3373.234,True
1/3/2020 4:00:00 AM,1/2/2020 11:00:00 PM,RFC,MIDATL,BC,BC,3124.886,True
1/3/2020 5:00:00 AM,1/3/2020 12:00:00 AM,RFC,MIDATL,BC,BC,2935.139,True
1/3/2020 6:00:00 AM,1/3/2020 1:00:00 AM,RFC,MIDATL,BC,BC,2823.523,True
1/3/2020 7:00:00 AM,1/3/2020 2:00:00 AM,RFC,MIDATL,BC,BC,2780.746,True
1/3/2020 8:00:00 AM,1/3/2020 3:00:00 AM,RFC,MIDATL,BC,BC,2778.242,True
1/3/2020 9:00:00 AM,1/3/2020 4:00:00 AM,RFC,MIDATL,BC,BC,2875.374,True
1/3/2020 10:00:00 AM,1/3/2020 5:00:00 AM,RFC,MIDATL,BC,BC,3120.837,True
1/3/2020 11:00:00 AM,1/3/2020 6:00:00 AM,RFC,MIDATL,BC,BC,3426.358,True
1/3/2020 12:00:00 PM,1/3/2020 7:00:00 AM,RFC,MIDATL,BC,BC,3582.233,True
1/3/2020 1:00:00 PM,1/3/2020 8:00:00 AM,RFC,MIDATL,BC,BC,3577.528,True
