datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2011 5:00:00 AM,1/1/2011 12:00:00 AM,RFC,MIDATL,BC,BC,3523.858,True
1/1/2011 6:00:00 AM,1/1/2011 1:00:00 AM,RFC,MIDATL,BC,BC,3488.055,True
1/1/2011 7:00:00 AM,1/1/2011 2:00:00 AM,RFC,MIDATL,BC,BC,3429.164,True
1/1/2011 8:00:00 AM,1/1/2011 3:00:00 AM,RFC,MIDATL,BC,BC,3354.271,True
1/1/2011 9:00:00 AM,1/1/2011 4:00:00 AM,RFC,MIDATL,BC,BC,3373.130,True
1/1/2011 10:00:00 AM,1/1/2011 5:00:00 AM,RFC,MIDATL,BC,BC,3448.342,True
1/1/2011 11:00:00 AM,1/1/2011 6:00:00 AM,RFC,MIDATL,BC,BC,3526.810,True
1/1/2011 12:00:00 PM,1/1/2011 7:00:00 AM,RFC,MIDATL,BC,BC,3541.340,True
1/1/2011 1:00:00 PM,1/1/2011 8:00:00 AM,RFC,MIDATL,BC,BC,3584.465,True
1/1/2011 2:00:00 PM,1/1/2011 9:00:00 AM,RFC,MIDATL,BC,BC,3544.016,True
1/1/2011 3:00:00 PM,1/1/2011 10:00:00 AM,RFC,MIDATL,BC,BC,3575.174,True
1/1/2011 4:00:00 PM,1/1/2011 11:00:00 AM,RFC,MIDATL,BC,BC,3616.067,True
1/1/2011 5:00:00 PM,1/1/2011 12:00:00 PM,RFC,MIDATL,BC,BC,3597.581,True
1/1/2011 6:00:00 PM,1/1/2011 1:00:00 PM,RFC,MIDATL,BC,BC,3535.069,True
1/1/2011 7:00:00 PM,1/1/2011 2:00:00 PM,RFC,MIDATL,BC,BC,3473.605,True
1/1/2011 8:00:00 PM,1/1/2011 3:00:00 PM,RFC,MIDATL,BC,BC,3469.159,True
1/1/2011 9:00:00 PM,1/1/2011 4:00:00 PM,RFC,MIDATL,BC,BC,3554.457,True
1/1/2011 10:00:00 PM,1/1/2011 5:00:00 PM,RFC,MIDATL,BC,BC,3869.112,True
1/1/2011 11:00:00 PM,1/1/2011 6:00:00 PM,RFC,MIDATL,BC,BC,3892.178,True
1/2/2011 12:00:00 AM,1/1/2011 7:00:00 PM,RFC,MIDATL,BC,BC,3781.536,True
1/2/2011 1:00:00 AM,1/1/2011 8:00:00 PM,RFC,MIDATL,BC,BC,3731.979,True
1/2/2011 2:00:00 AM,1/1/2011 9:00:00 PM,RFC,MIDATL,BC,BC,3589.157,True
1/2/2011 3:00:00 AM,1/1/2011 10:00:00 PM,RFC,MIDATL,BC,BC,3382.467,True
1/2/2011 4:00:00 AM,1/1/2011 11:00:00 PM,RFC,MIDATL,BC,BC,3156.364,True
1/2/2011 5:00:00 AM,1/2/2011 12:00:00 AM,RFC,MIDATL,BC,BC,2955.037,True
1/2/2011 6:00:00 AM,1/2/2011 1:00:00 AM,RFC,MIDATL,BC,BC,2779.316,True
1/2/2011 7:00:00 AM,1/2/2011 2:00:00 AM,RFC,MIDATL,BC,BC,2690.963,True
1/2/2011 8:00:00 AM,1/2/2011 3:00:00 AM,RFC,MIDATL,BC,BC,2635.601,True
1/2/2011 9:00:00 AM,1/2/2011 4:00:00 AM,RFC,MIDATL,BC,BC,2658.315,True
1/2/2011 10:00:00 AM,1/2/2011 5:00:00 AM,RFC,MIDATL,BC,BC,2712.728,True
1/2/2011 11:00:00 AM,1/2/2011 6:00:00 AM,RFC,MIDATL,BC,BC,2809.329,True
1/2/2011 12:00:00 PM,1/2/2011 7:00:00 AM,RFC,MIDATL,BC,BC,2963.708,True
1/2/2011 1:00:00 PM,1/2/2011 8:00:00 AM,RFC,MIDATL,BC,BC,3122.129,True
1/2/2011 2:00:00 PM,1/2/2011 9:00:00 AM,RFC,MIDATL,BC,BC,3271.168,True
1/2/2011 3:00:00 PM,1/2/2011 10:00:00 AM,RFC,MIDATL,BC,BC,3433.923,True
1/2/2011 4:00:00 PM,1/2/2011 11:00:00 AM,RFC,MIDATL,BC,BC,3517.993,True
1/2/2011 5:00:00 PM,1/2/2011 12:00:00 PM,RFC,MIDATL,BC,BC,3554.359,True
